AmyLoad,"AmyLoad, Waltz-DB 2.0",CPAD,"CPAD, AmyLoad","CPAD, AmyLoad, Waltz-DB 2.0","CPAD, Waltz-DB 2.0","CPAD, Waltz-DB 2.0, AmyLoad",WALTZ,Waltz-DB 2.0,"Waltz-DB 2.0, AmyLoad","Waltz-DB 2.0, AmyLoad, AmyLoad"
10.0,,22.0,21.0,,,6.0,,6.0,6,
10.0,,22.0,21.0,,,6.0,,6.0,6,
10.0,,22.0,22.0,,,,,6.0,6,
10.0,,22.0,23.0,,,,,6.0,6,
10.0,,22.0,24.0,,,,,6.0,6,
10.0,,23.0,25.0,,,,,6.0,6,
10.0,,24.0,27.0,,,,,6.0,6,
10.0,,24.0,31.0,,,,,6.0,6,
10.0,,24.0,40.0,,,,,6.0,6,
10.0,,25.0,42.0,,,,,6.0,6,
10.0,,25.0,,,,,,6.0,6,
10.0,,25.0,,,,,,6.0,6,
10.0,,26.0,,,,,,6.0,6,
10.0,,28.0,,,,,,6.0,6,
10.0,,29.0,,,,,,6.0,6,
10.0,,29.0,,,,,,6.0,6,
10.0,,30.0,,,,,,6.0,6,
10.0,,31.0,,,,,,6.0,6,
10.0,,31.0,,,,,,6.0,6,
10.0,,32.0,,,,,,6.0,6,
10.0,,32.0,,,,,,6.0,6,
10.0,,33.0,,,,,,6.0,6,
10.0,,33.0,,,,,,6.0,6,
10.0,,33.0,,,,,,6.0,6,
10.0,,35.0,,,,,,6.0,6,
10.0,,35.0,,,,,,6.0,6,
10.0,,35.0,,,,,,6.0,6,
10.0,,37.0,,,,,,6.0,6,
10.0,,40.0,,,,,,6.0,6,
10.0,,40.0,,,,,,6.0,6,
10.0,,40.0,,,,,,6.0,6,
10.0,,40.0,,,,,,6.0,6,
10.0,,40.0,,,,,,6.0,6,
10.0,,40.0,,,,,,6.0,6,
10.0,,40.0,,,,,,6.0,6,
10.0,,40.0,,,,,,6.0,6,
10.0,,40.0,,,,,,6.0,6,
11.0,,40.0,,,,,,6.0,6,
12.0,,40.0,,,,,,6.0,6,
11.0,,40.0,,,,,,6.0,6,
12.0,,40.0,,,,,,6.0,6,
12.0,,40.0,,,,,,6.0,6,
12.0,,40.0,,,,,,6.0,6,
12.0,,40.0,,,,,,6.0,6,
13.0,,40.0,,,,,,6.0,6,
13.0,,40.0,,,,,,6.0,6,
13.0,,40.0,,,,,,6.0,6,
13.0,,40.0,,,,,,6.0,6,
14.0,,40.0,,,,,,6.0,6,
14.0,,40.0,,,,,,6.0,6,
14.0,,40.0,,,,,,6.0,6,
15.0,,40.0,,,,,,6.0,6,
15.0,,40.0,,,,,,6.0,6,
15.0,,40.0,,,,,,6.0,6,
15.0,,40.0,,,,,,6.0,6,
15.0,,40.0,,,,,,6.0,6,
15.0,,42.0,,,,,,6.0,6,
15.0,,42.0,,,,,,6.0,6,
15.0,,42.0,,,,,,6.0,6,
16.0,,42.0,,,,,,6.0,6,
16.0,,42.0,,,,,,6.0,6,
16.0,,42.0,,,,,,6.0,6,
16.0,,42.0,,,,,,6.0,6,
16.0,,42.0,,,,,,6.0,6,
16.0,,42.0,,,,,,6.0,6,
17.0,,51.0,,,,,,6.0,6,
17.0,,56.0,,,,,,6.0,6,
17.0,,65.0,,,,,,6.0,6,
17.0,,,,,,,,6.0,6,
17.0,,,,,,,,6.0,6,
18.0,,,,,,,,6.0,6,
18.0,,,,,,,,6.0,6,
18.0,,,,,,,,6.0,6,
18.0,,,,,,,,6.0,6,
18.0,,,,,,,,6.0,6,
19.0,,,,,,,,6.0,6,
19.0,,,,,,,,6.0,6,
20.0,,,,,,,,6.0,6,
20.0,,,,,,,,6.0,6,
19.0,,,,,,,,6.0,6,
20.0,,,,,,,,6.0,6,
20.0,,,,,,,,6.0,6,
20.0,,,,,,,,6.0,6,
21.0,,,,,,,,6.0,6,
21.0,,,,,,,,6.0,6,
21.0,,,,,,,,6.0,6,
23.0,,,,,,,,6.0,6,
23.0,,,,,,,,6.0,6,
25.0,,,,,,,,6.0,6,
28.0,,,,,,,,6.0,6,
29.0,,,,,,,,6.0,6,
31.0,,,,,,,,6.0,6,
34.0,,,,,,,,6.0,6,
35.0,,,,,,,,6.0,6,
53.0,,,,,,,,6.0,6,
79.0,,,,,,,,6.0,6,
6.0,,,,,,,,6.0,6,
6.0,,,,,,,,6.0,6,
6.0,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
,,,,,,,,6.0,6,
